vendorid,vendorname,category,region,country,contractstartdate,contractenddate,contractvalue_usd,actualspend_usd,deliveryleadtime_days,ontimedeliveryrate,qualityscore,defectrate_percent,paymentterms_days,invoiceaccuracy_percent,supportresponsetime_hours,compliancescore,sustainabilityrating,numorders,numlateorders,numdisputes,numescalations,primarycontact,contactemail,preferredcommunication,yearsinbusiness,certificationiso,certificationother,risktier,lastauditdate,auditscore,notes,log_contractvalue_usd,log_actualspend_usd,log_deliveryleadtime_days,log_defectrate_percent,log_supportresponsetime_hours,log_numorders,log_numescalations
V001,AlphaSupply Co.,Raw Materials,North America,USA,2022-01-01,2024-12-31,500000.0,487500.0,7.0,0.95,88.0,1.2,30.0,98.0,4.0,92.0,A,240.0,12.0,3.0,1.0,John Smith,jsmith@alphasupply.com,Email,15.0,Yes,SOC2,Low,2024-03-10,91.0,Reliable long-term vendor,13.122365377402328,13.097047620699986,2.0794415416798357,0.7884573603642702,1.6094379124341003,5.484796933490655,0.6931471805599453
V002,BetaLogistics Ltd,Logistics,Europe,Germany,2021-06-01,2024-05-31,323200.0,338350.0,3.03,0.8989,82.82000000000001,0.808,45.45,95.95,6.0600000000000005,87.87,B,186.85,20.2,5.05,2.02,Anna Müller,amuller@betalog.de,Phone,22.22,Yes,ISO9001,Medium,2024-01-15,84.84,Occasional delays in Q4,12.686029699683697,12.731839097175436,1.3937663759585914,0.5922212619699848,1.9544450515051508,5.235643772019978,1.1052568313867783
V003,Gamma Tech Solutions,IT Services,Asia Pacific,India,2023-01-01,2025-12-31,765000.0,724200.0,1.02,0.9996,96.9,0.306,61.2,100.98,1.02,98.94,A+,316.2,6.12,1.02,0.0,Ravi Kumar,rkumar@gammatech.in,Email,10.2,Yes,CMMI,Low,2024-06-01,97.92,Top performer IT vendor,13.547632419997361,13.492824257146749,0.7030975114131134,0.2669690308542393,0.7030975114131134,5.7595324897606925,0.0
V004,Delta Packaging Inc,Packaging,North America,Canada,2022-03-15,2024-03-14,216300.0,231750.0,5.15,0.9373,81.37,2.1630000000000003,30.9,96.82,8.24,82.4,C,133.9,12.36,7.21,3.09,Lisa Chen,lchen@deltapkg.ca,Email,8.24,No,ISO9001,High,2023-11-20,74.16,Quality issues flagged Q3,12.28442623513897,12.353418798413399,1.8164520818184267,1.151520944323512,2.2235418856535927,4.90453376321371,1.4085449700547104
V005,Epsilon Chemicals,Raw Materials,Middle East,UAE,2021-01-01,2023-12-31,936000.0,904800.0,10.4,0.9048,88.4,1.872,46.8,99.84,12.48,86.32000000000001,B,416.0,54.08,9.36,4.16,Hassan Al-Farsi,hfarsi@epsilonchem.ae,Email,31.200000000000003,Yes,REACH,Medium,2024-02-28,83.2,Compliance review pending,13.749371823835228,13.71547030900006,2.4336133554004498,1.0550086511859778,2.601207105484161,6.0330862217988015,1.6409365794934714
V006,Zeta Manufacturing,Manufacturing,Asia Pacific,China,2020-07-01,2024-06-30,1200000.0,1150000.0,14.0,0.82,77.0,3.4,60.0,91.0,18.0,75.0,C,520.0,57.558000000000185,14.594400000000018,7.287200000000004,Wang Fang,wfang@zetamfg.cn,Phone,20.0,Yes,ISO14001,High,2024-04-05,70.0,High defect rate needs review,13.997832948091215,13.955273369904273,2.70805020110221,1.4816045409242156,2.9444389791664403,6.255750041753367,2.114712155761756
V007,Eta Consulting Group,Professional Services,Europe,UK,2023-06-01,2025-05-31,454500.0,434300.0,2.02,0.9696,91.91,0.505,30.3,99.99,2.02,94.94,A,202.0,8.08,2.02,0.0,Emily Watson,ewatson@etacg.co.uk,Email,12.12,Yes,Cyber Essentials,Low,2024-07-01,93.93,Excellent professional services,13.026955392817271,12.981493121076099,1.1052568313867783,0.408792898200839,1.1052568313867783,5.313205979041787,0.0
V008,Theta Office Supplies,Office Supplies,North America,USA,2022-09-01,2024-08-31,81600.0,83640.0,4.08,0.9486,85.68,1.02,29.853,98.94,3.06,90.78,B,306.0,21.42,4.08,1.02,Mark Johnson,mjohnson@thetaoffice.com,Email,7.140000000000001,No,ISO9001,Low,2024-05-15,89.76,Minor budget overrun,11.309596795779068,11.33428910947301,1.6253112615903906,0.7030975114131134,1.4011829736136414,5.726847747587197,0.7030975114131134
V009,Iota Energy Services,Energy,Europe,Netherlands,2021-11-01,2024-10-31,618000.0,607700.0,1.03,1.0197,98.88,0.206,61.8,103.0,1.03,101.97,A+,154.5,2.06,0.0,0.0,Pieter Vos,pvos@iotaenergy.nl,Email,25.75,Yes,ISO50001,Low,2024-08-20,100.94,Best in class energy vendor,13.334245354561496,13.317438263670883,0.708035793053696,0.1873090983049937,0.708035793053696,5.0466457316192885,0.0
V010,Kappa Transport Co,Logistics,Asia Pacific,Singapore,2022-02-01,2025-01-31,286000.0,301600.0,3.12,0.936,84.24000000000001,1.56,46.8,96.72,7.28,85.28,B,218.4,21.84,6.24,2.08,Lee Mei,lmei@kappatrans.sg,Phone,18.72,Yes,ISO9001,Medium,2024-03-22,84.24000000000001,Rising costs concern,12.563750586299374,12.61686023076031,1.415853163361435,0.9400072584914712,2.1138429683971687,5.3908965478411295,1.1249295969854831
