VendorID,VendorName,Category,Region,Country,ContractStartDate,ContractEndDate,ContractValue_USD,ActualSpend_USD,DeliveryLeadTime_Days,OnTimeDeliveryRate,QualityScore,DefectRate_Percent,PaymentTerms_Days,InvoiceAccuracy_Percent,SupportResponseTime_Hours,ComplianceScore,SustainabilityRating,NumOrders,NumLateOrders,NumDisputes,NumEscalations,PrimaryContact,ContactEmail,PreferredCommunication,YearsInBusiness,CertificationISO,CertificationOther,RiskTier,LastAuditDate,AuditScore,Notes
V001,AlphaSupply Co.,Raw Materials,North America,USA,2022-01-01,2024-12-31,500000.0,487500.0,7.0,0.95,88.0,1.2,30.0,98.0,4.0,92.0,A,240.0,12.0,3.0,1.0,John Smith,jsmith@alphasupply.com,Email,15.0,Yes,SOC2,Low,2024-03-10,91.0,Reliable long-term vendor
V002,BetaLogistics Ltd,Logistics,Europe,Germany,2021-06-01,2024-05-31,323200.0,338350.0,3.0300000000000002,0.8989,82.82000000000001,0.808,45.45,95.95,6.0600000000000005,87.87,B,186.85,20.2,5.05,2.02,Anna Müller,amuller@betalog.de,Phone,22.22,Yes,,Medium,2024-01-15,84.84,Occasional delays in Q4
V003,Gamma Tech Solutions,IT Services,Asia Pacific,India,2023-01-01,2025-12-31,765000.0,724200.0,1.02,0.9996,96.9,0.306,61.2,100.98,1.02,98.94,A+,316.2,6.12,1.02,0.0,Ravi Kumar,rkumar@gammatech.in,Email,10.2,Yes,CMMI,Low,2024-06-01,97.92,Top performer IT vendor
V004,Delta Packaging Inc,Packaging,North America,Canada,2022-03-15,2024-03-14,216300.0,231750.0,5.15,0.9373,81.37,2.1630000000000003,30.900000000000002,96.82000000000001,8.24,82.4,C,133.9,12.36,7.21,3.09,Lisa Chen,lchen@deltapkg.ca,Email,8.24,No,,High,2023-11-20,74.16,Quality issues flagged Q3
V005,Epsilon Chemicals,Raw Materials,Middle East,UAE,2021-01-01,2023-12-31,936000.0,904800.0,10.4,0.9048,88.4,1.872,46.800000000000004,99.84,12.48,86.32000000000001,B,416.0,54.08,9.36,4.16,Hassan Al-Farsi,hfarsi@epsilonchem.ae,Email,31.200000000000003,Yes,REACH,Medium,2024-02-28,83.2,Compliance review pending
V006,Zeta Manufacturing,Manufacturing,Asia Pacific,China,2020-07-01,2024-06-30,1200000.0,1150000.0,14.0,0.82,77.0,3.4,60.0,91.0,18.0,75.0,C,520.0,93.0,18.0,8.0,Wang Fang,wfang@zetamfg.cn,Phone,20.0,Yes,ISO14001,High,2024-04-05,70.0,High defect rate needs review
V007,Eta Consulting Group,Professional Services,Europe,UK,2023-06-01,2025-05-31,454500.0,434300.0,2.02,0.9696,91.91,0.505,30.3,99.99,2.02,94.94,A,202.0,8.08,2.02,0.0,Emily Watson,ewatson@etacg.co.uk,Email,12.120000000000001,Yes,Cyber Essentials,Low,2024-07-01,93.93,Excellent professional services
V008,Theta Office Supplies,Office Supplies,North America,USA,2022-09-01,2024-08-31,81600.0,83640.0,4.08,0.9486000000000001,85.68,1.02,15.3,98.94,3.06,90.78,B,306.0,21.42,4.08,1.02,Mark Johnson,mjohnson@thetaoffice.com,Email,7.140000000000001,No,,Low,2024-05-15,89.76,Minor budget overrun
V009,Iota Energy Services,Energy,Europe,Netherlands,2021-11-01,2024-10-31,618000.0,607700.0,1.03,1.0197,98.88,0.20600000000000002,61.800000000000004,103.0,1.03,101.97,A+,154.5,2.06,0.0,0.0,Pieter Vos,pvos@iotaenergy.nl,Email,25.75,Yes,ISO50001,Low,2024-08-20,100.94,Best in class energy vendor
V010,Kappa Transport Co,Logistics,Asia Pacific,Singapore,2022-02-01,2025-01-31,286000.0,301600.0,3.12,0.936,84.24000000000001,1.56,46.800000000000004,96.72,7.28,85.28,B,218.4,21.84,6.24,2.08,Lee Mei,lmei@kappatrans.sg,Phone,18.72,Yes,,Medium,2024-03-22,84.24000000000001,Rising costs concern
